epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
145,16138,1.03221,0.28486,0.00235,0.75277,0.48114,0.5284,0.34138,1.67895,1.23519,0.00802,5.68425e-05,5.68425e-05,5.68425e-05
146,16247.3,1.01889,0.27903,0.00237,0.7546,0.48033,0.52772,0.34138,1.67718,1.23876,0.00803,5.5057e-05,5.5057e-05,5.5057e-05
147,16355.9,1.01458,0.27793,0.00235,0.75459,0.47958,0.52757,0.34119,1.67915,1.23518,0.00803,5.32952e-05,5.32952e-05,5.32952e-05
148,16464.6,1.0207,0.27798,0.00231,0.7557,0.4788,0.5271,0.34062,1.67924,1.23753,0.00809,5.15576e-05,5.15576e-05,5.15576e-05
149,16578,1.03666,0.27814,0.00229,0.79817,0.45292,0.52615,0.34084,1.67863,1.24291,0.00809,4.98448e-05,4.98448e-05,4.98448e-05
150,16686.6,1.02586,0.27781,0.0023,0.75712,0.47658,0.52559,0.34055,1.67784,1.23586,0.00806,4.81569e-05,4.81569e-05,4.81569e-05
151,16795.5,1.01564,0.27449,0.00225,0.75783,0.47627,0.52494,0.33992,1.67742,1.23856,0.00807,4.64946e-05,4.64946e-05,4.64946e-05
152,16904.7,0.99868,0.27038,0.0023,0.76024,0.47534,0.52422,0.33977,1.67732,1.24267,0.00806,4.48582e-05,4.48582e-05,4.48582e-05
153,17013.4,1.01601,0.27852,0.00235,0.76203,0.47494,0.52263,0.33919,1.67772,1.24461,0.00805,4.32482e-05,4.32482e-05,4.32482e-05
154,17122,1.01353,0.27344,0.00225,0.76513,0.47346,0.52235,0.33795,1.67663,1.24707,0.00807,4.16648e-05,4.16648e-05,4.16648e-05
155,17231.3,1.00641,0.27519,0.0023,0.80071,0.44977,0.52231,0.33384,1.68316,1.24014,0.00814,4.01085e-05,4.01085e-05,4.01085e-05
156,17340,1.00356,0.2643,0.00222,0.79829,0.45034,0.52196,0.33443,1.68276,1.2434,0.00814,3.85797e-05,3.85797e-05,3.85797e-05
157,17448.8,1.02475,0.27476,0.00223,0.76319,0.47289,0.52132,0.33523,1.68203,1.24442,0.00814,3.70788e-05,3.70788e-05,3.70788e-05
158,17558,1.01818,0.26793,0.00221,0.76573,0.47239,0.52074,0.33526,1.68517,1.24334,0.00815,3.56061e-05,3.56061e-05,3.56061e-05
159,17666.6,1.00594,0.26414,0.00221,0.76553,0.47238,0.52005,0.33516,1.68656,1.24316,0.00815,3.4162e-05,3.4162e-05,3.4162e-05
160,17775.3,1.00434,0.26371,0.00224,0.79719,0.45155,0.52021,0.33507,1.68687,1.24317,0.00815,3.27468e-05,3.27468e-05,3.27468e-05
161,17884.9,0.99676,0.26124,0.00221,0.79704,0.45074,0.51978,0.33443,1.69163,1.24158,0.00817,3.1361e-05,3.1361e-05,3.1361e-05
162,17993.4,0.99435,0.26084,0.00216,0.76786,0.47202,0.52026,0.33477,1.69157,1.2448,0.00817,3.00048e-05,3.00048e-05,3.00048e-05
163,18102.1,0.99867,0.26538,0.00214,0.76886,0.47171,0.52014,0.33463,1.69334,1.24462,0.00817,2.86785e-05,2.86785e-05,2.86785e-05
164,18211.4,0.99156,0.26637,0.00218,0.76913,0.47316,0.5201,0.3345,1.69354,1.24551,0.00814,2.73826e-05,2.73826e-05,2.73826e-05
165,18320,0.99415,0.26759,0.00218,0.76953,0.47322,0.51949,0.33432,1.69129,1.25011,0.0081,2.61173e-05,2.61173e-05,2.61173e-05
166,18428.7,0.98696,0.26728,0.00224,0.77053,0.47298,0.51845,0.3338,1.69121,1.24384,0.0081,2.48829e-05,2.48829e-05,2.48829e-05
167,18537.9,0.98708,0.25807,0.00215,0.77183,0.47351,0.51816,0.33791,1.69168,1.24725,0.0081,2.36798e-05,2.36798e-05,2.36798e-05
168,18646.5,0.9808,0.26711,0.00218,0.77208,0.47398,0.51838,0.33744,1.69463,1.24666,0.00812,2.25082e-05,2.25082e-05,2.25082e-05
169,18755.2,0.99792,0.26852,0.00211,0.77144,0.47387,0.51777,0.33724,1.69467,1.24903,0.00812,2.13685e-05,2.13685e-05,2.13685e-05
170,18864.4,0.97622,0.25794,0.00214,0.77143,0.47337,0.51773,0.33725,1.69546,1.24841,0.00812,2.02608e-05,2.02608e-05,2.02608e-05
171,18973,0.97517,0.25661,0.00217,0.77187,0.47298,0.51815,0.33735,1.69493,1.25159,0.00812,1.91855e-05,1.91855e-05,1.91855e-05
172,19081.7,0.9893,0.26061,0.00214,0.76623,0.47434,0.51745,0.33711,1.69501,1.25504,0.00812,1.81429e-05,1.81429e-05,1.81429e-05
173,19190.8,0.982,0.26114,0.00211,0.7716,0.47238,0.51776,0.33732,1.69686,1.25476,0.00813,1.71332e-05,1.71332e-05,1.71332e-05
